body_0_w,body_0_x,body_0_y,body_0_z
-0.993446,0.019631,0.110052,-0.023821
-0.993945,0.018740,0.106002,-0.022015
-0.995005,0.017926,0.095665,-0.022166
-0.995417,0.015854,0.092315,-0.019268
-0.995519,0.013154,0.092459,-0.014847
-0.995724,0.016119,0.089089,-0.018357
-0.995886,0.017288,0.086386,-0.021185
-0.996011,0.014865,0.085024,-0.022646
-0.996177,0.015299,0.083592,-0.020248
-0.996347,0.017163,0.082122,-0.015920
-0.996451,0.016450,0.081349,-0.014037
-0.996541,0.015607,0.080686,-0.012354
-0.996608,0.014505,0.080242,-0.011071
-0.996707,0.013156,0.079458,-0.009376
-0.996817,0.011684,0.078503,-0.007475
-0.996863,0.009748,0.078423,-0.004359
-0.996938,0.007646,0.077803,-0.001644
-0.997086,0.005214,0.076104,0.000268
-0.997216,0.002959,0.074472,0.002365
-0.997330,0.000793,0.072874,0.004555
-0.997631,-0.001376,0.068657,0.004065
-0.997885,-0.003451,0.064839,0.003001
-0.998073,-0.005337,0.061820,0.000789
-0.998273,-0.007192,0.058212,-0.003115
-0.998452,-0.009032,0.054308,-0.007864
-0.998400,-0.010864,0.053506,-0.014741
-0.998274,-0.012148,0.053107,-0.021950
-0.998045,-0.012337,0.053516,-0.029821
-0.997802,-0.012406,0.052660,-0.038275
-0.997505,-0.012413,0.051169,-0.047020
-0.997338,-0.009626,0.047205,-0.054729
-0.997240,-0.006058,0.042116,-0.060842
-0.997358,-0.000930,0.034779,-0.063767
-0.997725,0.002710,0.027503,-0.061489
-0.998175,0.005604,0.020255,-0.056607
-0.998548,0.010672,0.017685,-0.049747
-0.998851,0.015426,0.016313,-0.042338
-0.999086,0.019553,0.017337,-0.033837
-0.999216,0.022039,0.018579,-0.027126
-0.999293,0.023704,0.019931,-0.021310
-0.999344,0.023760,0.020588,-0.018001
-0.999383,0.023576,0.021223,-0.015055
-0.999417,0.022912,0.021815,-0.012835
-0.999442,0.021924,0.022107,-0.012082
