joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.020729,-0.007947,-0.027358,-0.015347,-0.037610,0.013756,0.173593,-0.265418,0.042506,0.224793,0.211036,0.188270,0.205136,-0.226365,-0.161831,0.913192,-0.913801,-0.042677,0.102558,0.310052,-0.293652,1.404170,1.336110,-0.410275,0.416395,-0.083397,-0.099038,0.069733,-0.117166
-0.031501,-0.023271,-0.034125,-0.015679,-0.032042,0.014996,0.169848,-0.252275,0.039473,0.222466,0.210796,0.239553,0.262320,-0.222849,-0.154582,0.764915,-0.774072,-0.041327,0.091397,0.264488,-0.262426,1.414425,1.331227,-0.418909,0.430587,-0.058168,-0.066937,-0.000511,-0.039224
-0.039607,-0.035252,-0.040954,-0.014454,-0.026803,0.017631,0.166082,-0.243892,0.036944,0.216046,0.207409,0.275104,0.302610,-0.224338,-0.148553,0.627973,-0.651211,-0.038162,0.087247,0.193300,-0.205121,1.389522,1.296067,-0.396168,0.428130,-0.046789,-0.045334,-0.072696,0.043937
-0.046381,-0.045561,-0.047815,-0.012451,-0.021729,0.020964,0.162307,-0.237889,0.034667,0.207581,0.202448,0.302790,0.334455,-0.228329,-0.143133,0.496698,-0.536784,-0.034091,0.086605,0.109300,-0.134777,1.347039,1.245770,-0.357739,0.417349,-0.042335,-0.028979,-0.145850,0.129706
-0.049692,-0.053040,-0.051955,-0.011830,-0.018767,0.025330,0.161371,-0.237946,0.034813,0.195968,0.195859,0.324510,0.352716,-0.227056,-0.139193,0.412865,-0.459890,-0.029018,0.086913,0.028034,-0.061202,1.276602,1.165512,-0.330378,0.415701,-0.039512,-0.019424,-0.234513,0.220191
-0.052937,-0.059698,-0.054978,-0.011675,-0.016526,0.029332,0.161515,-0.238671,0.033670,0.186482,0.189763,0.341821,0.368321,-0.224223,-0.134923,0.344275,-0.396939,-0.024730,0.087599,-0.043847,0.004865,1.213296,1.093697,-0.309021,0.415322,-0.034529,-0.008906,-0.313776,0.300505
-0.056052,-0.064713,-0.055768,-0.012451,-0.015724,0.032606,0.163821,-0.240730,0.029947,0.181248,0.184651,0.350314,0.378614,-0.218272,-0.129996,0.306169,-0.361877,-0.022012,0.089043,-0.096961,0.055917,1.164252,1.038767,-0.299675,0.417482,-0.025225,0.003539,-0.374237,0.360481
-0.057983,-0.069149,-0.056040,-0.013593,-0.015966,0.034795,0.165820,-0.243438,0.025869,0.176061,0.182859,0.355388,0.385489,-0.212010,-0.126824,0.285860,-0.343021,-0.019332,0.089659,-0.139433,0.095382,1.121382,0.991717,-0.296538,0.423618,-0.019824,0.012519,-0.415178,0.405420
-0.059321,-0.073295,-0.056052,-0.014918,-0.016731,0.036442,0.167664,-0.246469,0.021611,0.170898,0.182727,0.358753,0.390653,-0.205592,-0.124530,0.274447,-0.332268,-0.016670,0.089861,-0.176585,0.129054,1.081598,0.948605,-0.296506,0.431742,-0.016374,0.019767,-0.446358,0.442840
-0.060799,-0.075373,-0.053919,-0.015204,-0.018244,0.036981,0.169596,-0.248635,0.019434,0.171605,0.184876,0.358093,0.388870,-0.203188,-0.124166,0.278750,-0.336155,-0.014458,0.089096,-0.203354,0.154017,1.052742,0.918867,-0.294364,0.435886,-0.013332,0.023526,-0.460723,0.458471
-0.061793,-0.077369,-0.051779,-0.015562,-0.019923,0.037344,0.170696,-0.251288,0.017052,0.171015,0.187287,0.356753,0.386209,-0.199910,-0.124197,0.284983,-0.342048,-0.012403,0.088496,-0.226752,0.175849,1.025224,0.889840,-0.292610,0.438796,-0.011522,0.025769,-0.471145,0.470446
-0.061817,-0.079200,-0.049627,-0.016066,-0.021933,0.037357,0.170134,-0.254919,0.014262,0.167830,0.190222,0.354051,0.381792,-0.194882,-0.125019,0.295079,-0.351955,-0.010664,0.088224,-0.243412,0.191416,1.000384,0.862235,-0.291629,0.439240,-0.012181,0.024981,-0.473678,0.475110
-0.060590,-0.079369,-0.047365,-0.015988,-0.024307,0.036662,0.171505,-0.258016,0.012241,0.167448,0.193359,0.348480,0.374803,-0.194336,-0.125488,0.304703,-0.361738,-0.008779,0.089107,-0.256567,0.203939,0.981985,0.843466,-0.289756,0.435207,-0.013241,0.023794,-0.470867,0.472219
-0.058738,-0.078707,-0.045049,-0.015620,-0.026864,0.035613,0.173843,-0.260848,0.010605,0.168467,0.196597,0.341473,0.366526,-0.196031,-0.125780,0.314091,-0.371459,-0.006821,0.090566,-0.267970,0.214940,0.966808,0.829114,-0.287436,0.428937,-0.014502,0.022406,-0.465384,0.465552
-0.057914,-0.077848,-0.042871,-0.015584,-0.028986,0.034254,0.177237,-0.261437,0.009815,0.169430,0.197152,0.332868,0.357628,-0.195027,-0.124670,0.321425,-0.379618,-0.005225,0.090092,-0.275105,0.222766,0.955264,0.814361,-0.288219,0.426134,-0.017555,0.019109,-0.458793,0.459492
-0.056425,-0.076523,-0.040685,-0.015887,-0.030923,0.032938,0.179140,-0.262263,0.008978,0.168772,0.197176,0.323755,0.348529,-0.194030,-0.124005,0.328253,-0.386901,-0.004138,0.090166,-0.280782,0.229555,0.945167,0.802065,-0.288166,0.423156,-0.021205,0.015607,-0.450680,0.451200
-0.053603,-0.074267,-0.038480,-0.016871,-0.032490,0.031710,0.178062,-0.263562,0.008044,0.164873,0.196137,0.313628,0.339028,-0.193049,-0.124229,0.334069,-0.392430,-0.004068,0.091334,-0.283543,0.234267,0.937963,0.794680,-0.286440,0.419827,-0.026048,0.011695,-0.439520,0.438443
-0.050320,-0.071339,-0.036665,-0.016923,-0.033802,0.030470,0.179633,-0.264735,0.007194,0.162200,0.194301,0.303689,0.328830,-0.192221,-0.122090,0.339420,-0.397456,-0.003611,0.092637,-0.285918,0.238307,0.933086,0.790132,-0.282249,0.413378,-0.030614,0.007621,-0.427715,0.425049
-0.046807,-0.068074,-0.035045,-0.016510,-0.034986,0.029226,0.182527,-0.265847,0.006385,0.160139,0.192067,0.293845,0.318283,-0.191470,-0.118771,0.344539,-0.402229,-0.002961,0.094007,-0.288099,0.242010,0.929370,0.787003,-0.276826,0.405369,-0.035040,0.003467,-0.415587,0.411336
